entry_time,exit_time,side,entry,exit,reason,gross_pnl,net_pnl,entry_fee,exit_fee,balance_after
2024-01-04 17:09:59.999000+00:00,2024-01-04 18:44:59.999000+00:00,LONG,44024.2,44076.0,ERIME_1/4,4.245901639344501,2.80078688524614,0.0,1.4451147540983607,997.0271213114756
2024-01-04 17:09:59.999000+00:00,2024-01-04 19:44:59.999000+00:00,LONG,44024.2,44098.2,ERIME_2/4,6.0655737704918025,4.619731147540983,0.0,1.4458426229508197,1001.6468524590166
2024-01-04 17:09:59.999000+00:00,2024-01-04 20:44:59.999000+00:00,LONG,44024.2,44337.8,ERIME_3/4,25.70491803278736,24.251219672131622,0.0,1.4536983606557377,1025.8980721311482
2024-01-04 17:09:59.999000+00:00,2024-01-04 21:44:59.999000+00:00,LONG,44024.2,44258.2,ERIME_4/4,19.18032786885246,17.729239344262293,0.0,1.451088524590164,1043.6273114754106
2024-01-05 22:59:59.999000+00:00,2024-01-06 04:04:59.999000+00:00,LONG,43964.2,43934.8,ERIME_1/4,-2.3602033044131536,-3.7710204491580726,0.0,1.4108171447449191,1034.2092461219859
2024-01-05 22:59:59.999000+00:00,2024-01-06 05:04:59.999000+00:00,LONG,43964.2,43839.0,ERIME_2/4,-10.050933799747567,-11.458674652294352,0.0,1.4077408525467854,1022.7505714696915
2024-01-05 22:59:59.999000+00:00,2024-01-06 06:04:59.999000+00:00,LONG,43964.2,43644.0,ERIME_3/4,-25.705343471878724,-27.106822560556658,0.0,1.401479088677933,995.6437489091348
2024-01-05 22:59:59.999000+00:00,2024-01-06 07:04:59.999000+00:00,LONG,43964.2,43478.3,ERIME_4/4,-39.007577741991994,-40.40373593696188,0.0,1.3961581949698876,955.240012972173
2024-01-08 07:54:59.999000+00:00,2024-01-08 09:59:59.999000+00:00,LONG,43963.9,43716.3,ERIME_1/4,-19.687910145274937,-21.07835051083857,0.0,1.3904403655636317,928.5684003428473
2024-01-08 07:54:59.999000+00:00,2024-01-08 10:59:59.999000+00:00,LONG,43963.9,44081.6,ERIME_2/4,9.358913667604266,7.956854572515483,0.0,1.4020590950887832,936.5252549153628
2024-01-08 07:54:59.999000+00:00,2024-01-08 11:59:59.999000+00:00,LONG,43963.9,44637.2,ERIME_3/4,53.537439017825555,52.117708512596685,0.0,1.4197305052288718,988.6429634279594
2024-01-08 07:54:59.999000+00:00,2024-01-08 12:59:59.999000+00:00,LONG,43963.9,45102.9,ERIME_4/4,90.56756726764252,89.13302471111372,0.0,1.4345425565287984,1077.7759881390732
2024-01-08 17:04:59.999000+00:00,2024-01-08 17:24:59.999000+00:00,LONG,45009.0,45266.6,TP,92.52652620963264,86.02285967031435,6.46665592883444,6.503666539318293,1157.3321918805532
2024-01-10 22:09:59.999000+00:00,2024-01-10 22:19:59.999000+00:00,LONG,45937.4,46348.5,TP,113.9353807156948,108.79723039401989,5.092576169388643,5.138150321674921,1261.0368461051844
2024-01-14 13:44:59.999000+00:00,2024-01-14 14:49:59.999000+00:00,SHORT,42783.9,42891.4,ERIME_1/4,-11.881934058983694,-13.778242101765064,0.0,1.89630804278137,1239.6923829267882
2024-01-14 13:44:59.999000+00:00,2024-01-14 15:49:59.999000+00:00,SHORT,42783.9,42916.5,ERIME_2/4,-14.656227499732283,-16.553645259889954,0.0,1.8974177601576696,1223.1387376668984
2024-01-14 13:44:59.999000+00:00,2024-01-14 16:49:59.999000+00:00,SHORT,42783.9,42944.0,ERIME_3/4,-17.69579202644904,-19.594425612417396,0.0,1.8986335859683565,1203.544312054481
2024-01-14 13:44:59.999000+00:00,2024-01-14 17:49:59.999000+00:00,SHORT,42783.9,42970.2,ERIME_4/4,-20.591668048266143,-22.491459984643228,0.0,1.8997919363770832,1181.0528520698379
2024-01-14 22:29:59.999000+00:00,2024-01-14 23:24:59.999000+00:00,SHORT,42331.4,41879.0,TP,134.36084918937124,129.38569622455987,5.02889730448712,4.975152964811371,1305.4096509899105
2024-01-17 13:19:59.999000+00:00,2024-01-17 14:09:59.999000+00:00,SHORT,42655.0,42477.2,TP,81.62061983800605,73.82081018000179,7.832457905939464,7.799809658004261,1371.398003263973
